principal_id,permission_id,resource_id
user:michael,ViewDept,ManagementDept
user:michael,EditDept,ManagementDept
user:michael,ApproveTime,ManagementDept
user:michael,AccessBranch,ScrantonBranch
user:michael,OrderPaper,BondPaper
user:michael,OrderPaper,LetterheadPaper
user:michael,ManagePricing,ScrantonBranch
user:michael,ManageWarehouse,WarehouseDept
user:jim,ViewDept,SalesDept
user:jim,AccessBranch,ScrantonBranch
user:jim,OrderPaper,BondPaper
user:jim,OrderPaper,LetterheadPaper
user:dwight,ViewDept,SalesDept
user:dwight,AccessBranch,ScrantonBranch
user:dwight,ManageWarehouse,WarehouseDept
user:pam,ViewDept,ManagementDept
user:pam,AccessBranch,ScrantonBranch
